Date,Front_Contract,Front_Close,Front_High,Front_Low,Front_Open,Front_Volume,Front_OI,FV1_Contract,FV1_Close,FV1_High,FV1_Low,FV1_Open,FV1_Volume,FV1_OI
01/04/2010,FVH10,114.546875,114.6328125,114.0625,114.25,295473,748097,FVM10,113.4140625,113.9453125,113.4140625,113.7109375,3,1
01/05/2010,FVH10,114.9453125,115.0078125,114.59375,114.609375,393545,759207,FVM10,113.6875,113.9453125,113.6875,113.7109375,3,1
01/06/2010,FVH10,114.90625,114.9296875,114.640625,114.8828125,473208,776474,FVM10,113.609375,113.9453125,113.609375,113.7109375,3,1
01/07/2010,FVH10,114.796875,114.9296875,114.578125,114.8203125,357551,783076,FVM10,113.5,113.9453125,113.5,113.7109375,3,1
01/08/2010,FVH10,115.0078125,115.1953125,114.5546875,114.734375,441871,911729,FVM10,113.7109375,113.9453125,113.7109375,113.7109375,3,9621
01/11/2010,FVH10,115.03125,115.125,114.828125,114.890625,242002,778509,FVM10,113.734375,114.01953125,113.734375,113.890625,4,2
01/12/2010,FVH10,115.3984375,115.46875,115.015625,115.015625,375358,782531,FVM10,114.1015625,114.1015625,114.046875,114.0703125,4,4
01/13/2010,FVH10,115.171875,115.453125,115.078125,115.4140625,365944,793058,FVM10,113.828125,114.0546875,113.75,113.890625,75,63
01/14/2010,FVH10,115.4296875,115.5390625,115.09375,115.125,387831,784280,FVM10,114.0859375,114.13802083333333,113.91927083333333,114.02864583333333,1,64
01/15/2010,FVH10,115.734375,115.8203125,115.390625,115.3984375,341211,787236,FVM10,114.390625,114.390625,114.08854166666667,114.16666666666667,2,65
01/19/2010,FVH10,115.5703125,115.890625,115.53125,115.7421875,313927,797214,FVM10,114.2421875,114.3046875,114.2421875,114.3046875,2,65
01/20/2010,FVH10,115.7578125,115.890625,115.5859375,115.6171875,310416,791628,FVM10,114.4453125,114.5859375,114.4453125,114.5,4,65
01/21/2010,FVH10,116.046875,116.140625,115.609375,115.7578125,524985,812529,FVM10,114.7421875,114.828125,114.703125,114.703125,2,67
01/22/2010,FVH10,116.1875,116.2421875,116.0234375,116.1328125,442676,813750,FVM10,114.90625,114.9453125,114.796875,114.8125,20,76
01/25/2010,FVH10,116.125,116.2109375,116.015625,116.1328125,287005,824508,FVM10,114.8359375,114.8359375,114.8125,114.8125,10,75
01/26/2010,FVH10,116.1640625,116.421875,116.0625,116.125,332500,832582,FVM10,114.875,115.09375,114.8203125,114.828125,1,76
01/27/2010,FVH10,116.0390625,116.46875,115.9609375,116.203125,503777,861862,FVM10,114.7578125,115.15625,114.703125,115.046875,523,416
01/28/2010,FVH10,116.171875,116.3125,115.7578125,115.921875,541693,889431,FVM10,114.8984375,115.24609375,114.8984375,115.12890625,269,601
01/29/2010,FVH10,116.4609375,116.6015625,115.8984375,116.2734375,499663,889135,FVM10,115.2109375,115.3359375,115.2109375,115.2109375,3358,3863
02/01/2010,FVH10,116.3203125,116.53125,116.21875,116.5234375,316497,887936,FVM10,115.0703125,115.296875,115.015625,115.296875,52,3913
02/02/2010,FVH10,116.3984375,116.4375,116.203125,116.3125,294302,896576,FVM10,115.1640625,115.1875,114.96484375,115.15234375,113,3972
02/03/2010,FVH10,116.1953125,116.40625,116.140625,116.40625,415871,901446,FVM10,114.9609375,115.078125,114.9140625,115.0078125,2004,5735
02/04/2010,FVH10,116.6640625,116.7734375,116.171875,116.1875,615278,918841,FVM10,115.4453125,115.546875,115.4375,115.46875,3586,8955
02/05/2010,FVH10,117.078125,117.1796875,116.5625,116.671875,784075,911187,FVM10,115.8828125,115.984375,115.4765625,115.6875,1429,9621
02/08/2010,FVH10,116.8671875,117.0546875,116.78125,117.0,321474,920804,FVM10,115.6796875,115.8515625,115.6640625,115.796875,252,9680
02/09/2010,FVH10,116.6875,117.046875,116.609375,117.0390625,519487,930400,FVM10,115.5,115.7890625,115.4296875,115.71875,1025,10594
02/10/2010,FVH10,116.421875,116.84375,116.328125,116.6640625,526187,931977,FVM10,115.2265625,115.6328125,115.1640625,115.53125,1122,10799
02/11/2010,FVH10,116.40625,116.5234375,116.203125,116.4296875,458914,941009,FVM10,115.203125,115.2734375,115.0390625,115.203125,2998,12343
02/12/2010,FVH10,116.609375,116.7109375,116.4140625,116.4375,421101,929985,FVM10,115.40625,115.515625,115.3203125,115.3828125,5341,15521
02/16/2010,FVH10,116.7890625,116.828125,116.4453125,116.578125,322394,928409,FVM10,115.6015625,115.6171875,115.28125,115.3984375,8735,21729
02/17/2010,FVH10,116.3515625,116.765625,116.2578125,116.765625,431571,910363,FVM10,115.1640625,115.515625,115.0703125,115.5,11559,28222
02/18/2010,FVH10,116.109375,116.5,115.8984375,116.3515625,601111,873758,FVM10,114.921875,115.296875,114.7421875,115.21875,41868,51659
