Date,Front_Contract,Front_Close,Front_High,Front_Low,Front_Open,Front_Volume,Front_OI,TU1_Contract,TU1_Close,TU1_High,TU1_Low,TU1_Open,TU1_Volume,TU1_OI
01/04/2010,TUH10,108.2578125,108.28125,108.0390625,108.09375,222302,837754,TUM10,107.6328125,107.796875,107.6328125,107.75,587,8082
01/05/2010,TUH10,108.4140625,108.4296875,108.265625,108.2734375,195501,824945,TUM10,107.8125,107.8125,107.75,107.75,587,8082
01/06/2010,TUH10,108.4453125,108.4609375,108.3046875,108.3984375,267390,832152,TUM10,107.84375,107.84375,107.78645833333333,107.78645833333333,250,8332
01/07/2010,TUH10,108.390625,108.421875,108.3203125,108.421875,201554,831955,TUM10,107.78125,107.88020833333333,107.78125,107.82291666666667,150,8332
01/08/2010,TUH10,108.5234375,108.5546875,108.2734375,108.375,317287,961687,TUM10,107.9140625,107.921875,107.859375,107.859375,226,28411
01/11/2010,TUH10,108.578125,108.5859375,108.4296875,108.4296875,173763,853299,TUM10,107.96875,107.9921875,107.83203125,107.953125,992,8352
01/12/2010,TUH10,108.6328125,108.65625,108.5625,108.5625,207963,871358,TUM10,108.0625,108.0625,107.8046875,108.046875,1758,9641
01/13/2010,TUH10,108.5546875,108.6484375,108.53125,108.640625,199244,865451,TUM10,107.9765625,108.046875,107.9609375,108.0078125,165,9802
01/14/2010,TUH10,108.640625,108.6640625,108.5390625,108.5546875,215351,864454,TUM10,108.0625,108.0625,108.046875,108.046875,21,9799
01/15/2010,TUH10,108.7578125,108.765625,108.625,108.6328125,212812,877209,TUM10,108.1875,108.1875,108.0859375,108.125,1105,10900
01/19/2010,TUH10,108.703125,108.828125,108.6953125,108.7578125,200199,894454,TUM10,108.1328125,108.25,108.125,108.203125,448,10776
01/20/2010,TUH10,108.7421875,108.7890625,108.703125,108.7265625,208559,888365,TUM10,108.171875,108.2265625,108.171875,108.2265625,1235,11949
01/21/2010,TUH10,108.828125,108.8671875,108.6953125,108.75,283162,887560,TUM10,108.28125,108.3125,108.140625,108.140625,1258,13088
01/22/2010,TUH10,108.8984375,108.9453125,108.828125,108.859375,306140,886287,TUM10,108.359375,108.390625,108.328125,108.3359375,2207,14691
01/25/2010,TUH10,108.8984375,108.9140625,108.8515625,108.8984375,189349,888316,TUM10,108.3515625,108.3671875,108.3515625,108.359375,20,14704
01/26/2010,TUH10,108.8828125,108.96875,108.859375,108.890625,209003,892656,TUM10,108.3359375,108.3984375,108.3359375,108.3828125,2075,15860
01/27/2010,TUH10,108.8203125,108.984375,108.7734375,108.890625,262133,900712,TUM10,108.25,108.4375,108.2265625,108.328125,4559,15407
01/28/2010,TUH10,108.8828125,108.90625,108.7265625,108.8046875,271495,915242,TUM10,108.3203125,108.3359375,108.3046875,108.3046875,6308,17172
01/29/2010,TUH10,108.9765625,109.0234375,108.75,108.8984375,318706,940451,TUM10,108.421875,108.4609375,108.2109375,108.34375,2947,19279
02/01/2010,TUH10,108.9296875,109.0078125,108.8828125,109.0078125,216293,949345,TUM10,108.375,108.375,108.3359375,108.3359375,117,19301
02/02/2010,TUH10,108.9453125,108.96875,108.890625,108.9296875,160656,954839,TUM10,108.390625,108.390625,108.390625,108.390625,1102,19978
02/03/2010,TUH10,108.890625,108.9375,108.8671875,108.9375,176858,954875,TUM10,108.3359375,108.359375,108.328125,108.3359375,3629,22352
02/04/2010,TUH10,109.0234375,109.0703125,108.875,108.890625,302320,946348,TUM10,108.4921875,108.5234375,108.421875,108.421875,5256,25112
02/05/2010,TUH10,109.1484375,109.2109375,108.9921875,109.03125,445677,958533,TUM10,108.6328125,108.6875,108.484375,108.5,4877,28411
02/08/2010,TUH10,109.09375,109.140625,109.0546875,109.125,171011,957831,TUM10,108.578125,108.6171875,108.53125,108.5546875,5666,31581
02/09/2010,TUH10,109.0234375,109.140625,108.984375,109.125,321713,955953,TUM10,108.5,108.578125,108.46875,108.546875,13462,39310
02/10/2010,TUH10,108.9140625,109.0625,108.890625,109.0078125,326087,955130,TUM10,108.375,108.53125,108.3515625,108.5078125,5049,40550
02/11/2010,TUH10,108.9296875,108.953125,108.875,108.9140625,228176,951752,TUM10,108.390625,108.390625,108.3515625,108.3828125,13471,49525
02/12/2010,TUH10,109.0234375,109.0546875,108.921875,108.9375,192501,943622,TUM10,108.5,108.5234375,108.4453125,108.46875,5207,53683
02/16/2010,TUH10,109.0859375,109.1015625,108.984375,109.0234375,202143,948231,TUM10,108.5703125,108.5859375,108.46875,108.5,11194,62642
02/17/2010,TUH10,108.9765625,109.078125,108.9375,109.078125,244054,923368,TUM10,108.453125,108.5390625,108.453125,108.53125,16837,70588
02/18/2010,TUH10,108.9453125,109.0390625,108.828125,108.9765625,357121,895085,TUM10,108.421875,108.5234375,108.296875,108.4921875,39688,88282
02/19/2010,TUH10,108.84375,108.90625,108.75,108.8125,482307,894501,TUM10,108.3125,108.3671875,108.234375,108.2734375,58721,115879
02/22/2010,TUH10,108.9296875,108.9453125,108.828125,108.84375,338425,746087,TUM10,108.3984375,108.40625,108.3046875,108.3125,166201,210590
02/23/2010,TUH10,109.0390625,109.0625,108.9140625,108.9296875,671182,603251,TUM10,108.4921875,108.5234375,108.375,108.390625,350454,381388
02/24/2010,TUH10,109.0703125,109.1171875,109.0078125,109.046875,779261,334710,TUM10,108.53125,108.578125,108.4609375,108.5078125,512841,645823
02/25/2010,TUH10,109.1640625,109.1875,109.0703125,109.0859375,491110,174890,TUM10,108.65625,108.671875,108.5390625,108.5390625,384844,778423
02/26/2010,TUH10,109.2109375,109.2265625,109.1328125,109.1640625,148627,121699,TUM10,108.71875,108.734375,108.609375,108.65625,289228,805859
03/01/2010,TUH10,109.21875,109.2265625,109.1484375,109.171875,37763,98653,TUM10,108.71875,108.7421875,108.6484375,108.6640625,179033,818920
03/02/2010,TUH10,109.2421875,109.25,109.171875,109.203125,33488,80683,TUM10,108.75,108.765625,108.6640625,108.71875,204587,838303
03/03/2010,TUH10,109.21875,109.25,109.171875,109.25,21750,69941,TUM10,108.7265625,108.765625,108.671875,108.75,194821,850488
03/04/2010,TUH10,109.125,109.2421875,109.09375,109.203125,27291,55353,TUM10,108.6328125,108.765625,108.5859375,108.7265625,299494,843372
03/05/2010,TUH10,109.0625,109.1796875,108.9921875,109.140625,31384,44299,TUM10,108.5625,108.6796875,108.4765625,108.6484375,344391,831566
03/08/2010,TUH10,109.0859375,109.09375,109.03125,109.0546875,7021,41795,TUM10,108.5859375,108.59375,108.515625,108.5625,194979,834039
03/09/2010,TUH10,109.1171875,109.15625,109.09375,109.09375,16939,36280,TUM10,108.6171875,108.6640625,108.5625,108.5625,234937,839500
03/10/2010,TUH10,109.0625,109.140625,109.046875,109.1328125,9357,29287,TUM10,108.546875,108.640625,108.5234375,108.6171875,237347,855076
03/11/2010,TUH10,108.9765625,109.078125,108.96875,109.0625,4920,28674,TUM10,108.4609375,108.5703125,108.4375,108.546875,284311,863028
03/12/2010,TUH10,108.953125,109.0,108.875,109.0,7085,22519,TUM10,108.4296875,108.484375,108.328125,108.4609375,330950,859744
03/15/2010,TUH10,109.0078125,109.0078125,108.96875,109.0,5638,19992,TUM10,108.484375,108.4921875,108.4296875,108.4375,177894,859443
03/16/2010,TUH10,109.078125,109.078125,108.9765625,109.0390625,6252,17218,TUM10,108.578125,108.6015625,108.4453125,108.484375,262992,867814
03/17/2010,TUH10,109.0390625,109.0703125,109.0078125,109.0625,3698,16376,TUM10,108.5625,108.59375,108.5234375,108.5703125,171883,861935
03/18/2010,TUH10,108.953125,109.046875,108.9453125,109.046875,2104,14216,TUM10,108.4765625,108.6015625,108.46875,108.5625,249357,869750
03/19/2010,TUH10,108.875,108.953125,108.875,108.953125,1674,13310,TUM10,108.390625,108.5078125,108.3828125,108.484375,231023,874592
03/22/2010,TUH10,108.9375,108.96875,108.8046875,108.8046875,1960,12631,TUM10,108.453125,108.5078125,108.3828125,108.390625,274447,872886
03/23/2010,TUH10,108.953125,109.0,108.9375,109.0,1044,11920,TUM10,108.4765625,108.5390625,108.453125,108.4609375,249269,877862
03/24/2010,TUH10,108.7890625,108.9296875,108.7734375,108.921875,1215,11287,TUM10,108.3046875,108.4765625,108.265625,108.4609375,476242,867736
03/25/2010,TUH10,108.7890625,108.8515625,108.75,108.8515625,1525,9924,TUM10,108.296875,108.3828125,108.2421875,108.3125,323180,870668
03/26/2010,TUH10,108.875,108.8828125,108.8046875,108.8125,4467,9276,TUM10,108.40625,108.4296875,108.296875,108.3203125,221414,872956
03/29/2010,TUH10,108.8984375,108.9140625,108.84375,108.8515625,1396,8792,TUM10,108.4296875,108.453125,108.359375,108.4140625,278907,894046
03/30/2010,TUH10,108.8671875,108.9296875,108.8515625,108.8671875,3376,7639,TUM10,108.3984375,108.453125,108.3828125,108.421875,223975,897331
03/31/2010,TUH10,108.9296875,108.9296875,108.6171875,108.671875,213,6875,TUM10,108.4765625,108.484375,108.359375,108.3984375,284812,913516
04/01/2010,TUM10,108.4296875,108.5078125,108.3828125,108.4765625,230983,921354,TUU10,107.84375,107.875,107.7890625,107.7890625,550,1688
04/02/2010,TUM10,108.2890625,108.5,108.2734375,108.40625,80408,922008,TUU10,107.6953125,107.78125,107.69270833333333,107.69270833333333,669,1688
04/05/2010,TUM10,108.1484375,108.3125,108.1328125,108.28125,208209,939773,TUU10,107.53125,107.6875,107.53125,107.59635416666667,788,1939
04/06/2010,TUM10,108.21875,108.2421875,108.1640625,108.1640625,301224,973250,TUU10,107.5859375,107.59375,107.5,107.5,4,1941
04/07/2010,TUM10,108.3828125,108.4140625,108.2265625,108.234375,354539,964624,TUU10,107.7578125,107.7734375,107.65625,107.65625,8,1943
04/08/2010,TUM10,108.3984375,108.484375,108.3671875,108.40625,296909,967485,TUU10,107.8046875,107.8671875,107.7421875,107.7421875,75,1961
04/09/2010,TUM10,108.4140625,108.4296875,108.3203125,108.390625,206031,969476,TUU10,107.8203125,107.8203125,107.75,107.75,3,1963
04/12/2010,TUM10,108.4609375,108.484375,108.3359375,108.3828125,180145,976066,TUU10,107.8671875,107.875,107.859375,107.859375,6,1967
04/13/2010,TUM10,108.453125,108.5234375,108.390625,108.46875,302631,985999,TUU10,107.8671875,107.8671875,107.8515625,107.8515625,31,1944
04/14/2010,TUM10,108.4453125,108.484375,108.3828125,108.4375,267797,992252,TUU10,107.8515625,107.89453125,107.84765625,107.84765625,201,2070
04/15/2010,TUM10,108.5,108.5234375,108.4296875,108.4375,209885,1001345,TUU10,107.921875,107.9375,107.84375,107.84375,2890,4717
04/16/2010,TUM10,108.6796875,108.703125,108.515625,108.5234375,387518,1028778,TUU10,108.1171875,108.125,107.9921875,108.0078125,267,4626
04/19/2010,TUM10,108.6171875,108.734375,108.609375,108.6953125,199733,1031654,TUU10,108.0546875,108.078125,107.98046875,108.01953125,273,4497
04/20/2010,TUM10,108.5546875,108.640625,108.515625,108.6171875,257146,1038365,TUU10,107.984375,108.03125,107.96875,108.03125,284,4408
04/21/2010,TUM10,108.5859375,108.59375,108.4921875,108.5546875,270192,1041335,TUU10,108.0234375,108.0234375,107.921875,107.9453125,1318,4928
04/22/2010,TUM10,108.53125,108.6640625,108.515625,108.5859375,341798,1027612,TUU10,107.9609375,107.9609375,107.88671875,107.9140625,1245,5818
04/23/2010,TUM10,108.4375,108.5703125,108.4296875,108.53125,255187,1033393,TUU10,107.8515625,107.8828125,107.8515625,107.8828125,1168,6329
04/26/2010,TUM10,108.4609375,108.515625,108.4140625,108.4609375,198838,1022501,TUU10,107.875,107.921875,107.875,107.90625,2214,7363
04/27/2010,TUM10,108.65625,108.7265625,108.4609375,108.4765625,446362,1015130,TUU10,108.109375,108.140625,107.9765625,107.9765625,1375,7752
04/28/2010,TUM10,108.59375,108.7734375,108.5703125,108.671875,439121,1006533,TUU10,108.0390625,108.1015625,108.03125,108.09375,1387,8663
04/29/2010,TUM10,108.6953125,108.703125,108.59375,108.640625,269908,1014067,TUU10,108.140625,108.140625,108.09375,108.09375,2904,10067
04/30/2010,TUM10,108.7890625,108.8046875,108.6796875,108.6953125,417873,1062932,TUU10,108.2578125,108.2734375,108.1953125,108.1953125,3118,12232
05/03/2010,TUM10,108.703125,108.8046875,108.6953125,108.78125,279384,1079693,TUU10,108.15625,108.21875,108.15625,108.21875,1653,13276
